,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
24086,5083804,620677822272,,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,8.0,95.0,,,,
24087,5083804,620677822272,,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,thumbnail_grossTrial (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,8.0,95.0,,,,
24088,5086472,620677824940,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554802198.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,8.0,95.0,,,,
24089,5094836,620677833304,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554810562.0,,,889.0,508.0,889.0,508.0,,,"0,03238","0,10371","-0,99408",,,,,,Valid,Invalid,"229,0","92,4","448,3",,,,"243,6","139,1",,,"0,4428","0,4708","0,4428","0,4708",,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,119.0,,,,
24090,5103165,620677841633,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554818891.0,,,938.0,541.0,886.0,512.0,990.0,570.0,"0,03087","0,10548","-0,99394","-0,04942","0,13457","-0,98967",,,Valid,Valid,"228,9","92,5","448,3","292,9","97,1","433,4","242,9","140,1","271,3","156,1","0,4823","0,5010","0,4407","0,4740","0,5240","0,5280",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,119.0,,,,
24091,5111470,620677849938,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554827195.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,8.0,96.0,,,,
24092,5119803,620677858271,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554835528.0,,,924.0,530.0,884.0,512.0,964.0,548.0,"0,02937","0,10560","-0,99397","-0,06551","0,12047","-0,99055",,,Valid,Valid,"229,0","92,4","448,1","293,0","97,2","433,5","242,2","140,0","264,3","149,9","0,4711","0,4905","0,4387","0,4737","0,5035","0,5073",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,120.0,,,,
24093,5128135,620677866603,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554843860.0,,,923.0,527.0,883.0,513.0,964.0,540.0,"0,02884","0,10596","-0,99395","-0,06587","0,11621","-0,99104",,,Valid,Valid,"228,9","92,6","448,1","292,9","97,1","433,5","241,9","140,4","264,1","147,9","0,4704","0,4876","0,4379","0,4749","0,5029","0,5004",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,120.0,,,,
24094,5136496,620677874964,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554852220.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,8.0,97.0,,,,
24095,5144800,620677883268,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554860524.0,,,927.0,525.0,889.0,513.0,965.0,538.0,"0,03228","0,10602","-0,99384","-0,06522","0,11455","-0,99127",,,Valid,Valid,"229,0","92,5","448,0","293,0","97,2","433,5","243,5","140,3","264,5","147,3","0,4733","0,4865","0,4426","0,4746","0,5040","0,4983",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,121.0,,,,
24096,5153163,620677891631,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554868887.0,,,925.0,534.0,882.0,524.0,968.0,544.0,"0,02849","0,11238","-0,99326","-0,06301","0,11843","-0,99096",,,Valid,Valid,"228,9","92,6","448,2","293,0","97,1","433,5","241,8","143,3","265,4","148,9","0,4721","0,4943","0,4376","0,4849","0,5067","0,5037",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,121.0,,,,
24097,5161466,620677899934,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554877190.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,8.0,98.0,,,,
24098,5169828,620677908296,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554885551.0,,,924.0,536.0,881.0,527.0,967.0,545.0,"0,02779","0,11467","-0,99302","-0,06396","0,11870","-0,99087",,,Valid,Valid,"229,0","92,4","448,2","293,1","97,2","433,6","241,6","144,2","265,1","149,1","0,4713","0,4962","0,4369","0,4878","0,5057","0,5045",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,122.0,,,,
24099,5178161,620677916629,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554893884.0,,,924.0,531.0,881.0,525.0,968.0,538.0,"0,02748","0,11327","-0,99318","-0,06341","0,11466","-0,99138",,,Valid,Valid,"229,0","92,5","448,4","293,0","97,0","433,6","241,4","143,6","265,2","147,2","0,4713","0,4920","0,4363","0,4860","0,5063","0,4980",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,122.0,,,,
24100,5186464,620677924932,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554902187.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,8.0,99.0,,,,
24101,5194797,620677933265,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554910519.0,,,925.0,534.0,877.0,524.0,973.0,544.0,"0,02527","0,11335","-0,99323","-0,06036","0,11832","-0,99114",,,Valid,Valid,"229,0","92,2","448,7","293,0","97,2","433,6","240,4","143,4","266,6","148,9","0,4718","0,4946","0,4334","0,4853","0,5103","0,5039",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,123.0,,,,
24102,5203129,620677941597,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554918851.0,,,921.0,532.0,878.0,521.0,964.0,543.0,"0,02599","0,11113","-0,99347","-0,06563","0,11797","-0,99085",,,Valid,Valid,"228,9","92,3","449,0","292,9","97,0","433,6","240,6","142,5","264,2","148,7","0,4687","0,4925","0,4341","0,4821","0,5032","0,5030",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,17.0,123.0,,,,
24103,5211502,620677949970,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554927224.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,8.0,100.0,,,,
24104,5219796,620677958264,Eye Tracker,Participant0056,08.09.2021,Participant0056,Recording4,08.09.2021,08.09.2021,14:12:52.357,12:12:52.357,65295,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",11554935517.0,,,919.0,529.0,875.0,521.0,962.0,537.0,"0,02440","0,11195","-0,99341","-0,06678","0,11386","-0,99125",,,Valid,Valid,"228,9","91,9","449,2","292,9","97,2","433,6","239,9","142,6","263,7","147,0","0,4669","0,4898","0,4320","0,4823","0,5018","0,4973",thumbnail_grossTrial (1),thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,42.0,124.0,,,,
